HOME_TEAM,AVG_PTS_x,AVG_AST_x,AVG_OREB_x,AVG_DREB_x,OFFRATE_x,DEFRATE_x,ELO_x,AWAY_TEAM,AVG_PTS_y,AVG_AST_y,AVG_OREB_y,AVG_DREB_y,OFFRATE_y,DEFRATE_y,ELO_y,DIS_PTS,DIS_AST,DIS_OREB,DIS_DREB,DIS_OFFRATE,DIS_DEFRATE,DIS_ELO,Prediction
CHA,109.70588235294115,26.85294117647059,10.5,33.23529411764706,1.1001002772370672,1.1523034271220434,1476.2026000664525,DEN,115.19117647058823,26.882352941176467,10.514705882352944,33.95588235294117,1.1592422672783778,1.1937250258990677,1606.6576444477264,-5.485294117647059,-0.029411764705884025,-0.014705882352942012,-0.720588235294116,-0.05914199004131083,-0.04142159877702434,-130.4550443812741,0.0
DET,106.92753623188406,24.27536231884058,9.73913043478261,33.08695652173913,1.0758552305404063,1.0993321473358804,1368.6578747599679,MIN,111.86764705882356,25.573529411764717,10.352941176470589,33.132352941176464,1.081922912814678,1.0068269094012232,1416.3498075497162,-4.940110826939474,-1.2981670929241282,-0.6138107416879794,-0.045396419437338416,-0.006067682274271346,0.09250523793465716,-47.691932789748314,0.0
BOS,112.91176470588236,23.5,10.75,33.632352941176464,1.130314450594747,1.0773171593451891,1504.2435380254294,MIA,107.61764705882356,26.27941176470589,7.985294117647059,33.5,1.1038373355858573,1.1581392542536502,1549.2170349764615,5.294117647058812,-2.7794117647058845,2.764705882352941,0.13235294117647098,0.02647711500889005,-0.08082209490846126,-44.973496951032544,0.0
TOR,111.61764705882356,24.264705882352942,9.470588235294116,32.22058823529412,1.1136870524709472,1.1129533982861841,1423.1357215986695,LAC,114.02941176470587,24.367647058823533,9.411764705882351,34.80882352941177,1.1711221869808186,1.1011931732366709,1600.2265915088335,-2.411764705882348,-0.10294117647058698,0.0588235294117645,-2.588235294117652,-0.05743513450987136,0.011760225049512796,-177.09086991016395,0.0
IND,115.08823529411764,27.19117647058824,8.985294117647056,33.70588235294117,1.1116477272727272,1.0170454545454546,1468.6501255750068,PHI,113.88235294117644,23.426470588235286,10.147058823529411,35.3235294117647,1.1278764928633849,1.0605884066414215,1627.5051503229392,1.2058823529411882,3.7647058823529416,-1.1617647058823533,-1.6176470588235292,-0.016228765590657668,-0.043542952095966925,-158.85502474793225,0.0
CHI,110.86764705882356,26.882352941176467,9.529411764705884,35.23529411764706,1.102160755533464,1.07862343206339,1457.3296539623307,BKN,118.61764705882356,26.514705882352942,9.0,35.352941176470594,1.1758703131377923,1.1419033179777245,1584.9456230014462,-7.75,0.36764705882352894,0.5294117647058822,-0.11764705882352902,-0.07370955760432829,-0.06327988591433442,-127.6159690391155,0.0
MEM,113.23529411764706,26.882352941176467,11.176470588235292,35.382352941176464,1.110278002076364,1.1425769985004035,1516.1515753275228,DAL,112.23529411764706,22.676470588235286,9.014705882352944,34.47058823529412,1.1449831973115698,1.0588694191070571,1579.823181101238,1.0,4.2058823529411775,2.1617647058823515,0.9117647058823548,-0.034705195235205766,0.08370757939334661,-63.67160577371511,0.0
MIL,119.98529411764706,25.60294117647059,10.279411764705884,37.691176470588225,1.160432370928744,1.075238230692647,1588.9051986593827,ORL,104.10294117647058,21.838235294117645,10.323529411764708,34.94117647058823,1.044624147802733,1.1225393265059174,1358.3948816672805,15.882352941176464,3.7647058823529385,-0.04411764705882426,2.75,0.11580822312601112,-0.04730109581327047,230.51031699210216,1.0
GSW,113.43478260869566,27.57971014492753,7.855072463768116,35.13043478260869,1.0967100100885552,1.128516982401076,1518.047274740978,PHX,114.75,26.808823529411764,8.779411764705884,34.14705882352941,1.1594353640416049,1.1040118870728084,1635.4679419104486,-1.315217391304344,0.7708866155157708,-0.924339300937766,0.9833759590792824,-0.06272535395304968,0.024505095328267727,-117.42066716947056,0.0
SAC,114.0,25.44117647058824,9.352941176470589,31.985294117647058,1.1298644512461742,1.0558227663605888,1470.943278240712,OKC,104.9855072463768,22.217391304347824,9.884057971014492,35.608695652173914,1.0283345636250072,1.1004485832718187,1326.7195266922315,9.014492753623188,3.2237851662404116,-0.5311167945439035,-3.6234015345268564,0.10152988762116676,-0.04462581691122991,144.22375154848032,1.0
LAL,109.26470588235294,24.426470588235293,9.617647058823529,34.55882352941177,1.0886765912554213,1.1433302074786074,1504.2880942934326,NYK,107.22058823529412,21.38235294117647,9.852941176470589,35.294117647058826,1.1004618589066322,1.1703444320342924,1570.9902369263127,2.044117647058826,3.0441176470588225,-0.23529411764705976,-0.735294117647058,-0.011785267651210907,-0.02701422455568503,-66.70214263288017,0.0
