TEAM_ABBREVIATION_x,TEAM_NAME_x,GAME_ID,GAME_DATE_x,WL_x,MIN_x,PTS_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PLUS_MINUS_x,TEAM_ABBREVIATION_y,TEAM_NAME_y,GAME_DATE_y,WL_y,MIN_y,PTS_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PLUS_MINUS_y
ATL,Atlanta Hawks,0022001049,2021-05-13,1,239,116,41,94,0.436,14,36.0,0.389,20,24,0.833,12.0,37.0,49.0,19,9.0,4,7,16,23.0,ORL,Orlando Magic,2021-05-13,0,241,93,36,94,0.383,11,36.0,0.306,10,15,0.667,16.0,35.0,51.0,24,3.0,6,14,16,-23.0
CHI,Chicago Bulls,0022001051,2021-05-13,1,240,114,45,83,0.542,17,36.0,0.472,7,10,0.7,8.0,43.0,51.0,31,4.0,4,18,15,12.0,TOR,Toronto Raptors,2021-05-13,0,239,102,40,90,0.444,12,36.0,0.333,10,18,0.556,7.0,25.0,32.0,24,16.0,1,9,14,-12.0
MIN,Minnesota Timberwolves,0022001052,2021-05-13,0,240,103,34,80,0.425,16,41.0,0.39,19,32,0.594,11.0,32.0,43.0,20,3.0,5,15,17,-11.0,DEN,Denver Nuggets,2021-05-13,1,239,114,46,96,0.479,12,36.0,0.333,10,11,0.909,14.0,39.0,53.0,30,6.0,3,12,25,11.0
CHA,Charlotte Hornets,0022001047,2021-05-13,0,239,90,33,84,0.393,9,33.0,0.273,15,19,0.789,8.0,27.0,35.0,24,9.0,1,10,15,-23.0,LAC,LA Clippers,2021-05-13,1,239,113,40,75,0.533,21,45.0,0.467,12,16,0.75,6.0,38.0,44.0,28,6.0,6,17,17,23.0
NYK,New York Knicks,0022000458,2021-05-13,1,240,102,35,86,0.407,14,35.0,0.4,18,18,1.0,10.0,38.0,48.0,23,7.0,8,10,19,4.0,SAS,San Antonio Spurs,2021-05-13,0,240,98,38,91,0.418,6,21.0,0.286,16,19,0.842,9.0,38.0,47.0,22,4.0,6,9,16,-4.0
IND,Indiana Pacers,0022001048,2021-05-13,0,241,133,50,110,0.455,21,43.0,0.488,12,15,0.8,12.0,28.0,40.0,34,6.0,2,7,22,-9.0,MIL,Milwaukee Bucks,2021-05-13,1,240,142,54,94,0.574,11,30.0,0.367,23,31,0.742,10.0,41.0,51.0,34,5.0,6,12,10,9.0
MEM,Memphis Grizzlies,0022000255,2021-05-13,1,239,116,45,90,0.5,11,33.0,0.333,15,18,0.833,12.0,36.0,48.0,30,2.0,9,18,13,6.0,SAC,Sacramento Kings,2021-05-13,0,239,110,42,96,0.438,17,41.0,0.415,9,14,0.643,13.0,22.0,35.0,33,9.0,9,10,16,-6.0
PHX,Phoenix Suns,0022001053,2021-05-13,1,241,118,41,88,0.466,13,32.0,0.406,23,26,0.885,10.0,32.0,42.0,22,4.0,3,11,17,1.0,POR,Portland Trail Blazers,2021-05-13,0,240,117,44,81,0.543,15,33.0,0.455,14,18,0.778,1.0,32.0,33.0,23,7.0,3,13,18,-1.0
MIA,Miami Heat,0022001050,2021-05-13,1,241,106,41,81,0.506,13,35.0,0.371,11,11,1.0,15.0,32.0,47.0,26,5.0,6,19,15,12.0,PHI,Philadelphia 76ers,2021-05-13,0,238,94,36,78,0.462,7,25.0,0.28,15,20,0.75,8.0,22.0,30.0,20,8.0,1,12,18,-12.0
